case_id,family,m,seed,excitation,kind
M1-NETWORK_m0p75_s18_EB,M1_NETWORK,0.75,18,E-B,main_grid
M1-NETWORK_m0p75_s19_EC,M1_NETWORK,0.75,19,E-C,main_grid
M1-NETWORK_m0p75_s20_ED,M1_NETWORK,0.75,20,E-D,main_grid
M1-NETWORK_m1p0_s1_EA,M1_NETWORK,1.0,1,E-A,main_grid
M1-NETWORK_m1p0_s2_EB,M1_NETWORK,1.0,2,E-B,main_grid
M1-NETWORK_m1p0_s3_EC,M1_NETWORK,1.0,3,E-C,main_grid
M1-NETWORK_m1p0_s4_ED,M1_NETWORK,1.0,4,E-D,main_grid
M1-NETWORK_m1p0_s5_EA,M1_NETWORK,1.0,5,E-A,main_grid
M1-NETWORK_m1p0_s6_EB,M1_NETWORK,1.0,6,E-B,main_grid
M1-NETWORK_m1p0_s7_EC,M1_NETWORK,1.0,7,E-C,main_grid
M1-NETWORK_m1p0_s8_ED,M1_NETWORK,1.0,8,E-D,main_grid
M1-NETWORK_m1p0_s9_EA,M1_NETWORK,1.0,9,E-A,main_grid
M1-NETWORK_m1p0_s10_EB,M1_NETWORK,1.0,10,E-B,main_grid
M1-NETWORK_m1p0_s11_EC,M1_NETWORK,1.0,11,E-C,main_grid
M1-NETWORK_m1p0_s12_ED,M1_NETWORK,1.0,12,E-D,main_grid
M1-NETWORK_m1p0_s13_EA,M1_NETWORK,1.0,13,E-A,main_grid
M1-NETWORK_m1p0_s14_EB,M1_NETWORK,1.0,14,E-B,main_grid
M1-NETWORK_m1p0_s15_EC,M1_NETWORK,1.0,15,E-C,main_grid
M1-NETWORK_m1p0_s16_ED,M1_NETWORK,1.0,16,E-D,main_grid
M1-NETWORK_m1p0_s17_EA,M1_NETWORK,1.0,17,E-A,main_grid
M1-NETWORK_m1p0_s18_EB,M1_NETWORK,1.0,18,E-B,main_grid
M1-NETWORK_m1p0_s19_EC,M1_NETWORK,1.0,19,E-C,main_grid
M1-NETWORK_m1p0_s20_ED,M1_NETWORK,1.0,20,E-D,main_grid
M1-NETWORK_m1p25_s1_EA,M1_NETWORK,1.25,1,E-A,main_grid
M1-NETWORK_m1p25_s2_EB,M1_NETWORK,1.25,2,E-B,main_grid
M1-NETWORK_m1p25_s3_EC,M1_NETWORK,1.25,3,E-C,main_grid
M1-NETWORK_m1p25_s4_ED,M1_NETWORK,1.25,4,E-D,main_grid
M1-NETWORK_m1p25_s5_EA,M1_NETWORK,1.25,5,E-A,main_grid
M1-NETWORK_m1p25_s6_EB,M1_NETWORK,1.25,6,E-B,main_grid
M1-NETWORK_m1p25_s7_EC,M1_NETWORK,1.25,7,E-C,main_grid
M1-NETWORK_m1p25_s8_ED,M1_NETWORK,1.25,8,E-D,main_grid
M1-NETWORK_m1p25_s9_EA,M1_NETWORK,1.25,9,E-A,main_grid
M1-NETWORK_m1p25_s10_EB,M1_NETWORK,1.25,10,E-B,main_grid
M1-NETWORK_m1p25_s11_EC,M1_NETWORK,1.25,11,E-C,main_grid
M1-NETWORK_m1p25_s12_ED,M1_NETWORK,1.25,12,E-D,main_grid
M1-NETWORK_m1p25_s13_EA,M1_NETWORK,1.25,13,E-A,main_grid
M1-NETWORK_m1p25_s14_EB,M1_NETWORK,1.25,14,E-B,main_grid
M1-NETWORK_m1p25_s15_EC,M1_NETWORK,1.25,15,E-C,main_grid
M1-NETWORK_m1p25_s16_ED,M1_NETWORK,1.25,16,E-D,main_grid
M1-NETWORK_m1p25_s17_EA,M1_NETWORK,1.25,17,E-A,main_grid
M1-NETWORK_m1p25_s18_EB,M1_NETWORK,1.25,18,E-B,main_grid
M1-NETWORK_m1p25_s19_EC,M1_NETWORK,1.25,19,E-C,main_grid
M1-NETWORK_m1p25_s20_ED,M1_NETWORK,1.25,20,E-D,main_grid
M1-NETWORK_m1p5_s1_EA,M1_NETWORK,1.5,1,E-A,main_grid
M1-NETWORK_m1p5_s2_EB,M1_NETWORK,1.5,2,E-B,main_grid
M1-NETWORK_m1p5_s3_EC,M1_NETWORK,1.5,3,E-C,main_grid
M1-NETWORK_m1p5_s4_ED,M1_NETWORK,1.5,4,E-D,main_grid
M1-NETWORK_m1p5_s5_EA,M1_NETWORK,1.5,5,E-A,main_grid
M1-NETWORK_m1p5_s6_EB,M1_NETWORK,1.5,6,E-B,main_grid
M1-NETWORK_m1p5_s7_EC,M1_NETWORK,1.5,7,E-C,main_grid
M1-NETWORK_m1p5_s8_ED,M1_NETWORK,1.5,8,E-D,main_grid
M1-NETWORK_m1p5_s9_EA,M1_NETWORK,1.5,9,E-A,main_grid
M1-NETWORK_m1p5_s10_EB,M1_NETWORK,1.5,10,E-B,main_grid
M1-NETWORK_m1p5_s11_EC,M1_NETWORK,1.5,11,E-C,main_grid
M1-NETWORK_m1p5_s12_ED,M1_NETWORK,1.5,12,E-D,main_grid
M1-NETWORK_m1p5_s13_EA,M1_NETWORK,1.5,13,E-A,main_grid
M1-NETWORK_m1p5_s14_EB,M1_NETWORK,1.5,14,E-B,main_grid
M1-NETWORK_m1p5_s15_EC,M1_NETWORK,1.5,15,E-C,main_grid
M1-NETWORK_m1p5_s16_ED,M1_NETWORK,1.5,16,E-D,main_grid
M1-NETWORK_m1p5_s17_EA,M1_NETWORK,1.5,17,E-A,main_grid
M1-NETWORK_m1p5_s18_EB,M1_NETWORK,1.5,18,E-B,main_grid
M1-NETWORK_m1p5_s19_EC,M1_NETWORK,1.5,19,E-C,main_grid
M1-NETWORK_m1p5_s20_ED,M1_NETWORK,1.5,20,E-D,main_grid
M2-MACHINE_m0p0_s1_EA,M2_MACHINE,0.0,1,E-A,main_grid
M2-MACHINE_m0p0_s2_EB,M2_MACHINE,0.0,2,E-B,main_grid
M2-MACHINE_m0p0_s3_EC,M2_MACHINE,0.0,3,E-C,main_grid
M2-MACHINE_m0p0_s4_ED,M2_MACHINE,0.0,4,E-D,main_grid
M2-MACHINE_m0p0_s5_EA,M2_MACHINE,0.0,5,E-A,main_grid
M2-MACHINE_m0p0_s6_EB,M2_MACHINE,0.0,6,E-B,main_grid
M2-MACHINE_m0p0_s7_EC,M2_MACHINE,0.0,7,E-C,main_grid
M2-MACHINE_m0p0_s8_ED,M2_MACHINE,0.0,8,E-D,main_grid
M2-MACHINE_m0p0_s9_EA,M2_MACHINE,0.0,9,E-A,main_grid
M2-MACHINE_m0p0_s10_EB,M2_MACHINE,0.0,10,E-B,main_grid
M2-MACHINE_m0p0_s11_EC,M2_MACHINE,0.0,11,E-C,main_grid
M2-MACHINE_m0p0_s12_ED,M2_MACHINE,0.0,12,E-D,main_grid
M2-MACHINE_m0p0_s13_EA,M2_MACHINE,0.0,13,E-A,main_grid
M2-MACHINE_m0p0_s14_EB,M2_MACHINE,0.0,14,E-B,main_grid
M2-MACHINE_m0p0_s15_EC,M2_MACHINE,0.0,15,E-C,main_grid
M2-MACHINE_m0p0_s16_ED,M2_MACHINE,0.0,16,E-D,main_grid
M2-MACHINE_m0p0_s17_EA,M2_MACHINE,0.0,17,E-A,main_grid
M2-MACHINE_m0p0_s18_EB,M2_MACHINE,0.0,18,E-B,main_grid
M2-MACHINE_m0p0_s19_EC,M2_MACHINE,0.0,19,E-C,main_grid
M2-MACHINE_m0p0_s20_ED,M2_MACHINE,0.0,20,E-D,main_grid
M2-MACHINE_m0p25_s1_EA,M2_MACHINE,0.25,1,E-A,main_grid
M2-MACHINE_m0p25_s2_EB,M2_MACHINE,0.25,2,E-B,main_grid
M2-MACHINE_m0p25_s3_EC,M2_MACHINE,0.25,3,E-C,main_grid
M2-MACHINE_m0p25_s4_ED,M2_MACHINE,0.25,4,E-D,main_grid
M2-MACHINE_m0p25_s5_EA,M2_MACHINE,0.25,5,E-A,main_grid
M2-MACHINE_m0p25_s6_EB,M2_MACHINE,0.25,6,E-B,main_grid
M2-MACHINE_m0p25_s7_EC,M2_MACHINE,0.25,7,E-C,main_grid
M2-MACHINE_m0p25_s8_ED,M2_MACHINE,0.25,8,E-D,main_grid
M2-MACHINE_m0p25_s9_EA,M2_MACHINE,0.25,9,E-A,main_grid
M2-MACHINE_m0p25_s10_EB,M2_MACHINE,0.25,10,E-B,main_grid
M2-MACHINE_m0p25_s11_EC,M2_MACHINE,0.25,11,E-C,main_grid
M2-MACHINE_m0p25_s12_ED,M2_MACHINE,0.25,12,E-D,main_grid
M2-MACHINE_m0p25_s13_EA,M2_MACHINE,0.25,13,E-A,main_grid
M2-MACHINE_m0p25_s14_EB,M2_MACHINE,0.25,14,E-B,main_grid
M2-MACHINE_m0p25_s15_EC,M2_MACHINE,0.25,15,E-C,main_grid
M2-MACHINE_m0p25_s16_ED,M2_MACHINE,0.25,16,E-D,main_grid
M2-MACHINE_m0p25_s17_EA,M2_MACHINE,0.25,17,E-A,main_grid
M2-MACHINE_m0p25_s18_EB,M2_MACHINE,0.25,18,E-B,main_grid
M2-MACHINE_m0p25_s19_EC,M2_MACHINE,0.25,19,E-C,main_grid
M2-MACHINE_m0p25_s20_ED,M2_MACHINE,0.25,20,E-D,main_grid
M2-MACHINE_m0p5_s1_EA,M2_MACHINE,0.5,1,E-A,main_grid
M2-MACHINE_m0p5_s2_EB,M2_MACHINE,0.5,2,E-B,main_grid
M2-MACHINE_m0p5_s3_EC,M2_MACHINE,0.5,3,E-C,main_grid
M2-MACHINE_m0p5_s4_ED,M2_MACHINE,0.5,4,E-D,main_grid
M2-MACHINE_m0p5_s5_EA,M2_MACHINE,0.5,5,E-A,main_grid
M2-MACHINE_m0p5_s6_EB,M2_MACHINE,0.5,6,E-B,main_grid
M2-MACHINE_m0p5_s7_EC,M2_MACHINE,0.5,7,E-C,main_grid
M2-MACHINE_m0p5_s8_ED,M2_MACHINE,0.5,8,E-D,main_grid
M2-MACHINE_m0p5_s9_EA,M2_MACHINE,0.5,9,E-A,main_grid
M2-MACHINE_m0p5_s10_EB,M2_MACHINE,0.5,10,E-B,main_grid
M2-MACHINE_m0p5_s11_EC,M2_MACHINE,0.5,11,E-C,main_grid
M2-MACHINE_m0p5_s12_ED,M2_MACHINE,0.5,12,E-D,main_grid
M2-MACHINE_m0p5_s13_EA,M2_MACHINE,0.5,13,E-A,main_grid
M2-MACHINE_m0p5_s14_EB,M2_MACHINE,0.5,14,E-B,main_grid
M2-MACHINE_m0p5_s15_EC,M2_MACHINE,0.5,15,E-C,main_grid
M2-MACHINE_m0p5_s16_ED,M2_MACHINE,0.5,16,E-D,main_grid
M2-MACHINE_m0p5_s17_EA,M2_MACHINE,0.5,17,E-A,main_grid
M2-MACHINE_m0p5_s18_EB,M2_MACHINE,0.5,18,E-B,main_grid
M2-MACHINE_m0p5_s19_EC,M2_MACHINE,0.5,19,E-C,main_grid
M2-MACHINE_m0p5_s20_ED,M2_MACHINE,0.5,20,E-D,main_grid
M2-MACHINE_m0p75_s1_EA,M2_MACHINE,0.75,1,E-A,main_grid
M2-MACHINE_m0p75_s2_EB,M2_MACHINE,0.75,2,E-B,main_grid
M2-MACHINE_m0p75_s3_EC,M2_MACHINE,0.75,3,E-C,main_grid
M2-MACHINE_m0p75_s4_ED,M2_MACHINE,0.75,4,E-D,main_grid
M2-MACHINE_m0p75_s5_EA,M2_MACHINE,0.75,5,E-A,main_grid
M2-MACHINE_m0p75_s6_EB,M2_MACHINE,0.75,6,E-B,main_grid
M2-MACHINE_m0p75_s7_EC,M2_MACHINE,0.75,7,E-C,main_grid
M2-MACHINE_m0p75_s8_ED,M2_MACHINE,0.75,8,E-D,main_grid
M2-MACHINE_m0p75_s9_EA,M2_MACHINE,0.75,9,E-A,main_grid
M2-MACHINE_m0p75_s10_EB,M2_MACHINE,0.75,10,E-B,main_grid
M2-MACHINE_m0p75_s11_EC,M2_MACHINE,0.75,11,E-C,main_grid
M2-MACHINE_m0p75_s12_ED,M2_MACHINE,0.75,12,E-D,main_grid
M2-MACHINE_m0p75_s13_EA,M2_MACHINE,0.75,13,E-A,main_grid
M2-MACHINE_m0p75_s14_EB,M2_MACHINE,0.75,14,E-B,main_grid
M2-MACHINE_m0p75_s15_EC,M2_MACHINE,0.75,15,E-C,main_grid
M2-MACHINE_m0p75_s16_ED,M2_MACHINE,0.75,16,E-D,main_grid
M2-MACHINE_m0p75_s17_EA,M2_MACHINE,0.75,17,E-A,main_grid
M2-MACHINE_m0p75_s18_EB,M2_MACHINE,0.75,18,E-B,main_grid
M2-MACHINE_m0p75_s19_EC,M2_MACHINE,0.75,19,E-C,main_grid
M2-MACHINE_m0p75_s20_ED,M2_MACHINE,0.75,20,E-D,main_grid
M2-MACHINE_m1p0_s1_EA,M2_MACHINE,1.0,1,E-A,main_grid
M2-MACHINE_m1p0_s2_EB,M2_MACHINE,1.0,2,E-B,main_grid
M2-MACHINE_m1p0_s3_EC,M2_MACHINE,1.0,3,E-C,main_grid
M2-MACHINE_m1p0_s4_ED,M2_MACHINE,1.0,4,E-D,main_grid
M2-MACHINE_m1p0_s5_EA,M2_MACHINE,1.0,5,E-A,main_grid
M2-MACHINE_m1p0_s6_EB,M2_MACHINE,1.0,6,E-B,main_grid
M2-MACHINE_m1p0_s7_EC,M2_MACHINE,1.0,7,E-C,main_grid
M2-MACHINE_m1p0_s8_ED,M2_MACHINE,1.0,8,E-D,main_grid
M2-MACHINE_m1p0_s9_EA,M2_MACHINE,1.0,9,E-A,main_grid
M2-MACHINE_m1p0_s10_EB,M2_MACHINE,1.0,10,E-B,main_grid
M2-MACHINE_m1p0_s11_EC,M2_MACHINE,1.0,11,E-C,main_grid
M2-MACHINE_m1p0_s12_ED,M2_MACHINE,1.0,12,E-D,main_grid
M2-MACHINE_m1p0_s13_EA,M2_MACHINE,1.0,13,E-A,main_grid
M2-MACHINE_m1p0_s14_EB,M2_MACHINE,1.0,14,E-B,main_grid
M2-MACHINE_m1p0_s15_EC,M2_MACHINE,1.0,15,E-C,main_grid
M2-MACHINE_m1p0_s16_ED,M2_MACHINE,1.0,16,E-D,main_grid
M2-MACHINE_m1p0_s17_EA,M2_MACHINE,1.0,17,E-A,main_grid
M2-MACHINE_m1p0_s18_EB,M2_MACHINE,1.0,18,E-B,main_grid
M2-MACHINE_m1p0_s19_EC,M2_MACHINE,1.0,19,E-C,main_grid
M2-MACHINE_m1p0_s20_ED,M2_MACHINE,1.0,20,E-D,main_grid
M2-MACHINE_m1p25_s1_EA,M2_MACHINE,1.25,1,E-A,main_grid
M2-MACHINE_m1p25_s2_EB,M2_MACHINE,1.25,2,E-B,main_grid
M2-MACHINE_m1p25_s3_EC,M2_MACHINE,1.25,3,E-C,main_grid
M2-MACHINE_m1p25_s4_ED,M2_MACHINE,1.25,4,E-D,main_grid
M2-MACHINE_m1p25_s5_EA,M2_MACHINE,1.25,5,E-A,main_grid
M2-MACHINE_m1p25_s6_EB,M2_MACHINE,1.25,6,E-B,main_grid
M2-MACHINE_m1p25_s7_EC,M2_MACHINE,1.25,7,E-C,main_grid
M2-MACHINE_m1p25_s8_ED,M2_MACHINE,1.25,8,E-D,main_grid
M2-MACHINE_m1p25_s9_EA,M2_MACHINE,1.25,9,E-A,main_grid
M2-MACHINE_m1p25_s10_EB,M2_MACHINE,1.25,10,E-B,main_grid
M2-MACHINE_m1p25_s11_EC,M2_MACHINE,1.25,11,E-C,main_grid
M2-MACHINE_m1p25_s12_ED,M2_MACHINE,1.25,12,E-D,main_grid
M2-MACHINE_m1p25_s13_EA,M2_MACHINE,1.25,13,E-A,main_grid
M2-MACHINE_m1p25_s14_EB,M2_MACHINE,1.25,14,E-B,main_grid
M2-MACHINE_m1p25_s15_EC,M2_MACHINE,1.25,15,E-C,main_grid
M2-MACHINE_m1p25_s16_ED,M2_MACHINE,1.25,16,E-D,main_grid
M2-MACHINE_m1p25_s17_EA,M2_MACHINE,1.25,17,E-A,main_grid
M2-MACHINE_m1p25_s18_EB,M2_MACHINE,1.25,18,E-B,main_grid
M2-MACHINE_m1p25_s19_EC,M2_MACHINE,1.25,19,E-C,main_grid
M2-MACHINE_m1p25_s20_ED,M2_MACHINE,1.25,20,E-D,main_grid
M2-MACHINE_m1p5_s1_EA,M2_MACHINE,1.5,1,E-A,main_grid
M2-MACHINE_m1p5_s2_EB,M2_MACHINE,1.5,2,E-B,main_grid
M2-MACHINE_m1p5_s3_EC,M2_MACHINE,1.5,3,E-C,main_grid
M2-MACHINE_m1p5_s4_ED,M2_MACHINE,1.5,4,E-D,main_grid
M2-MACHINE_m1p5_s5_EA,M2_MACHINE,1.5,5,E-A,main_grid
M2-MACHINE_m1p5_s6_EB,M2_MACHINE,1.5,6,E-B,main_grid
M2-MACHINE_m1p5_s7_EC,M2_MACHINE,1.5,7,E-C,main_grid
M2-MACHINE_m1p5_s8_ED,M2_MACHINE,1.5,8,E-D,main_grid
M2-MACHINE_m1p5_s9_EA,M2_MACHINE,1.5,9,E-A,main_grid
M2-MACHINE_m1p5_s10_EB,M2_MACHINE,1.5,10,E-B,main_grid
M2-MACHINE_m1p5_s11_EC,M2_MACHINE,1.5,11,E-C,main_grid
M2-MACHINE_m1p5_s12_ED,M2_MACHINE,1.5,12,E-D,main_grid
M2-MACHINE_m1p5_s13_EA,M2_MACHINE,1.5,13,E-A,main_grid
M2-MACHINE_m1p5_s14_EB,M2_MACHINE,1.5,14,E-B,main_grid
M2-MACHINE_m1p5_s15_EC,M2_MACHINE,1.5,15,E-C,main_grid
M2-MACHINE_m1p5_s16_ED,M2_MACHINE,1.5,16,E-D,main_grid
M2-MACHINE_m1p5_s17_EA,M2_MACHINE,1.5,17,E-A,main_grid
M2-MACHINE_m1p5_s18_EB,M2_MACHINE,1.5,18,E-B,main_grid
M2-MACHINE_m1p5_s19_EC,M2_MACHINE,1.5,19,E-C,main_grid
M2-MACHINE_m1p5_s20_ED,M2_MACHINE,1.5,20,E-D,main_grid
M3-GOVERNOR_m0p0_s1_EA,M3_GOVERNOR,0.0,1,E-A,main_grid
M3-GOVERNOR_m0p0_s2_EB,M3_GOVERNOR,0.0,2,E-B,main_grid
M3-GOVERNOR_m0p0_s3_EC,M3_GOVERNOR,0.0,3,E-C,main_grid
M3-GOVERNOR_m0p0_s4_ED,M3_GOVERNOR,0.0,4,E-D,main_grid
M3-GOVERNOR_m0p0_s5_EA,M3_GOVERNOR,0.0,5,E-A,main_grid
M3-GOVERNOR_m0p0_s6_EB,M3_GOVERNOR,0.0,6,E-B,main_grid
M3-GOVERNOR_m0p0_s7_EC,M3_GOVERNOR,0.0,7,E-C,main_grid
M3-GOVERNOR_m0p0_s8_ED,M3_GOVERNOR,0.0,8,E-D,main_grid
M3-GOVERNOR_m0p0_s9_EA,M3_GOVERNOR,0.0,9,E-A,main_grid
M3-GOVERNOR_m0p0_s10_EB,M3_GOVERNOR,0.0,10,E-B,main_grid
M3-GOVERNOR_m0p0_s11_EC,M3_GOVERNOR,0.0,11,E-C,main_grid
M3-GOVERNOR_m0p0_s12_ED,M3_GOVERNOR,0.0,12,E-D,main_grid
M3-GOVERNOR_m0p0_s13_EA,M3_GOVERNOR,0.0,13,E-A,main_grid
M3-GOVERNOR_m0p0_s14_EB,M3_GOVERNOR,0.0,14,E-B,main_grid
M3-GOVERNOR_m0p0_s15_EC,M3_GOVERNOR,0.0,15,E-C,main_grid
M3-GOVERNOR_m0p0_s16_ED,M3_GOVERNOR,0.0,16,E-D,main_grid
M3-GOVERNOR_m0p0_s17_EA,M3_GOVERNOR,0.0,17,E-A,main_grid
M3-GOVERNOR_m0p0_s18_EB,M3_GOVERNOR,0.0,18,E-B,main_grid
M3-GOVERNOR_m0p0_s19_EC,M3_GOVERNOR,0.0,19,E-C,main_grid
M3-GOVERNOR_m0p0_s20_ED,M3_GOVERNOR,0.0,20,E-D,main_grid
M3-GOVERNOR_m0p25_s1_EA,M3_GOVERNOR,0.25,1,E-A,main_grid
M3-GOVERNOR_m0p25_s2_EB,M3_GOVERNOR,0.25,2,E-B,main_grid
M3-GOVERNOR_m0p25_s3_EC,M3_GOVERNOR,0.25,3,E-C,main_grid
M3-GOVERNOR_m0p25_s4_ED,M3_GOVERNOR,0.25,4,E-D,main_grid
M3-GOVERNOR_m0p25_s5_EA,M3_GOVERNOR,0.25,5,E-A,main_grid
M3-GOVERNOR_m0p25_s6_EB,M3_GOVERNOR,0.25,6,E-B,main_grid
M3-GOVERNOR_m0p25_s7_EC,M3_GOVERNOR,0.25,7,E-C,main_grid
M3-GOVERNOR_m0p25_s8_ED,M3_GOVERNOR,0.25,8,E-D,main_grid
M3-GOVERNOR_m0p25_s9_EA,M3_GOVERNOR,0.25,9,E-A,main_grid
M3-GOVERNOR_m0p25_s10_EB,M3_GOVERNOR,0.25,10,E-B,main_grid
M3-GOVERNOR_m0p25_s11_EC,M3_GOVERNOR,0.25,11,E-C,main_grid
M3-GOVERNOR_m0p25_s12_ED,M3_GOVERNOR,0.25,12,E-D,main_grid
M3-GOVERNOR_m0p25_s13_EA,M3_GOVERNOR,0.25,13,E-A,main_grid
M3-GOVERNOR_m0p25_s14_EB,M3_GOVERNOR,0.25,14,E-B,main_grid
